PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1629634,Brandon Clarke,2019,College/University,2019,37.0,28.1,16.9,8.6,1.9,0.708,0.239,2019-20,58.0,22.4,12.1,5.9,1.4,0.663,0.18
1629636,Darius Garland,2019,College/University,2019,5.0,27.8,16.2,3.8,2.6,0.663,0.256,2019-20,59.0,30.9,12.3,1.9,3.9,0.498,0.201
1629637,Jaxson Hayes,2019,College/University,2019,32.0,23.3,10.0,5.0,0.2,0.751,0.171,2019-20,64.0,16.9,7.4,4.0,0.9,0.689,0.146
1629638,Nickeil Alexander-Walker,2019,College/University,2019,34.0,34.3,16.2,4.1,4.0,0.592,0.264,2019-20,47.0,12.6,5.7,1.8,1.9,0.473,0.233
1629639,Tyler Herro,2019,College/University,2019,37.0,32.6,14.0,4.5,2.5,0.585,0.215,2019-20,55.0,27.4,13.5,4.1,2.2,0.55,0.213
1629640,Keldon Johnson,2019,College/University,2019,37.0,30.7,13.5,5.9,1.6,0.564,0.227,2020-21,69.0,28.5,12.8,6.0,1.8,0.557,0.189
1629641,Romeo Langford,2019,College/University,2019,32.0,34.1,16.5,5.4,2.3,0.55,0.26,2019-20,32.0,11.6,2.5,1.3,0.4,0.434,0.113
1629642,Nassir Little,2019,College/University,2019,36.0,18.2,9.8,4.6,0.6,0.555,0.252,2019-20,48.0,11.9,3.6,2.2,0.5,0.505,0.131
1629643,Chuma Okeke,2019,College/University,2019,38.0,29.1,12.0,6.8,1.9,0.602,0.199,2020-21,45.0,25.2,7.8,4.0,2.2,0.511,0.142
1629644,KZ Okpala,2019,College/University,2019,29.0,32.7,16.8,5.7,2.0,0.551,0.272,2020-21,37.0,12.1,2.5,1.8,0.5,0.448,0.115
